Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Italy,Italy,IT,403.4,494.33,31.71,25.68,,false,
2023-01-01 01:00:00,Italy,Italy,IT,404.98,494.99,32.7,26.31,,false,
2023-01-01 02:00:00,Italy,Italy,IT,405.17,495.77,32.88,26.46,,false,
2023-01-01 03:00:00,Italy,Italy,IT,395.55,485.91,34.3,27.2,,false,
2023-01-01 04:00:00,Italy,Italy,IT,396.38,486.93,34.09,27.19,,false,
2023-01-01 05:00:00,Italy,Italy,IT,387.42,476.61,35.45,28.43,,false,
2023-01-01 06:00:00,Italy,Italy,IT,385.53,474.41,35.51,28.69,,false,
2023-01-01 07:00:00,Italy,Italy,IT,369.13,453.86,39.33,33.63,,false,
2023-01-01 08:00:00,Italy,Italy,IT,331.1,408.74,46.99,41.84,,false,
2023-01-01 09:00:00,Italy,Italy,IT,325.45,401.45,47.97,43.5,,false,
2023-01-01 10:00:00,Italy,Italy,IT,318.05,393.43,48.54,43.67,,false,
2023-01-01 11:00:00,Italy,Italy,IT,322.33,398.43,47.38,42.02,,false,
2023-01-01 12:00:00,Italy,Italy,IT,330.85,408.34,45.75,40.56,,false,
2023-01-01 13:00:00,Italy,Italy,IT,344.09,423.57,43.58,37.49,,false,
2023-01-01 14:00:00,Italy,Italy,IT,358.94,441.87,39.13,31.34,,false,
2023-01-01 15:00:00,Italy,Italy,IT,380.67,470.45,32.14,24.6,,false,
2023-01-01 16:00:00,Italy,Italy,IT,374.37,461.14,32.72,26.36,,false,
2023-01-01 17:00:00,Italy,Italy,IT,369.39,455.77,33.26,27.23,,false,
2023-01-01 18:00:00,Italy,Italy,IT,369.47,452.69,34.42,28.47,,false,
2023-01-01 19:00:00,Italy,Italy,IT,370.19,456.82,33.22,26.44,,false,
2023-01-01 20:00:00,Italy,Italy,IT,382.73,473.2,30.49,23.0,,false,
2023-01-01 21:00:00,Italy,Italy,IT,389.1,479.4,30.81,23.08,,false,
2023-01-01 22:00:00,Italy,Italy,IT,389.77,479.31,32.26,23.95,,false,
2023-01-01 23:00:00,Italy,Italy,IT,401.24,489.92,32.95,24.0,,false,
2023-01-02 00:00:00,Italy,Italy,IT,417.94,509.25,30.63,23.56,,false,
2023-01-02 01:00:00,Italy,Italy,IT,425.09,517.69,29.49,23.24,,false,
2023-01-02 02:00:00,Italy,Italy,IT,429.93,523.25,28.62,22.72,,false,
2023-01-02 03:00:00,Italy,Italy,IT,424.26,516.55,29.51,23.53,,false,
2023-01-02 04:00:00,Italy,Italy,IT,412.78,504.12,30.11,22.94,,false,
2023-01-02 05:00:00,Italy,Italy,IT,394.32,485.36,30.15,21.98,,false,
2023-01-02 06:00:00,Italy,Italy,IT,385.41,476.58,29.54,22.25,,false,
2023-01-02 07:00:00,Italy,Italy,IT,366.62,454.49,32.41,25.97,,false,
2023-01-02 08:00:00,Italy,Italy,IT,355.14,441.16,34.37,28.78,,false,
2023-01-02 09:00:00,Italy,Italy,IT,341.67,424.45,37.7,31.47,,false,
2023-01-02 10:00:00,Italy,Italy,IT,331.01,411.72,40.09,33.48,,false,
2023-01-02 11:00:00,Italy,Italy,IT,333.06,413.78,40.03,33.18,,false,
2023-01-02 12:00:00,Italy,Italy,IT,338.82,420.67,38.91,32.15,,false,
2023-01-02 13:00:00,Italy,Italy,IT,342.16,425.46,37.34,30.02,,false,
2023-01-02 14:00:00,Italy,Italy,IT,359.96,446.97,33.09,25.71,,false,
2023-01-02 15:00:00,Italy,Italy,IT,363.15,451.03,31.74,23.58,,false,
2023-01-02 16:00:00,Italy,Italy,IT,365.0,451.93,31.38,25.37,,false,
2023-01-02 17:00:00,Italy,Italy,IT,365.02,451.94,31.58,26.2,,false,
2023-01-02 18:00:00,Italy,Italy,IT,372.28,460.53,30.2,25.71,,false,
2023-01-02 19:00:00,Italy,Italy,IT,376.43,465.89,29.77,24.1,,false,
2023-01-02 20:00:00,Italy,Italy,IT,380.6,470.56,30.0,23.4,,false,
2023-01-02 21:00:00,Italy,Italy,IT,387.55,477.49,30.22,22.45,,false,
2023-01-02 22:00:00,Italy,Italy,IT,394.19,483.28,31.24,23.51,,false,
2023-01-02 23:00:00,Italy,Italy,IT,385.26,472.16,34.43,24.93,,false,
2023-01-03 00:00:00,Italy,Italy,IT,388.0,474.51,35.13,25.2,,false,
2023-01-03 01:00:00,Italy,Italy,IT,387.02,473.26,36.0,24.56,,false,
2023-01-03 02:00:00,Italy,Italy,IT,386.64,472.18,36.33,23.97,,false,
2023-01-03 03:00:00,Italy,Italy,IT,385.02,470.56,36.12,22.94,,false,
2023-01-03 04:00:00,Italy,Italy,IT,382.23,468.63,34.99,22.17,,false,
2023-01-03 05:00:00,Italy,Italy,IT,372.05,458.06,34.05,21.84,,false,
2023-01-03 06:00:00,Italy,Italy,IT,369.49,454.71,33.15,23.63,,false,
2023-01-03 07:00:00,Italy,Italy,IT,342.95,417.3,39.86,30.13,,false,
2023-01-03 08:00:00,Italy,Italy,IT,330.71,404.95,41.24,31.82,,false,
2023-01-03 09:00:00,Italy,Italy,IT,331.1,409.61,39.78,30.37,,false,
2023-01-03 10:00:00,Italy,Italy,IT,325.24,402.16,41.84,32.09,,false,
2023-01-03 11:00:00,Italy,Italy,IT,329.65,407.47,40.99,31.42,,false,
2023-01-03 12:00:00,Italy,Italy,IT,325.97,402.72,41.83,31.23,,false,
2023-01-03 13:00:00,Italy,Italy,IT,327.19,404.47,40.76,29.32,,false,
2023-01-03 14:00:00,Italy,Italy,IT,337.05,416.52,38.43,27.21,,false,
2023-01-03 15:00:00,Italy,Italy,IT,338.73,416.47,38.51,27.27,,false,
2023-01-03 16:00:00,Italy,Italy,IT,334.19,404.62,41.7,31.39,,false,
2023-01-03 17:00:00,Italy,Italy,IT,333.44,403.94,41.64,31.57,,false,
2023-01-03 18:00:00,Italy,Italy,IT,337.38,409.69,40.72,30.78,,false,
2023-01-03 19:00:00,Italy,Italy,IT,346.84,427.55,37.11,26.37,,false,
2023-01-03 20:00:00,Italy,Italy,IT,346.19,427.95,37.73,24.31,,false,
2023-01-03 21:00:00,Italy,Italy,IT,350.96,432.89,38.62,25.08,,false,
2023-01-03 22:00:00,Italy,Italy,IT,348.69,428.66,40.9,26.33,,false,
2023-01-03 23:00:00,Italy,Italy,IT,336.45,411.61,45.51,28.3,,false,
2023-01-04 00:00:00,Italy,Italy,IT,351.01,427.47,43.49,26.83,,false,
2023-01-04 01:00:00,Italy,Italy,IT,360.63,438.8,41.81,26.15,,false,
2023-01-04 02:00:00,Italy,Italy,IT,366.84,446.72,40.5,25.5,,false,
2023-01-04 03:00:00,Italy,Italy,IT,361.91,441.42,40.9,26.06,,false,
