Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Sweden,Sweden,SE,5.66,31.31,99.38,68.34,entsoe.eu,false,
2022-01-01 01:00:00,Sweden,Sweden,SE,3.14,27.92,99.71,68.28,entsoe.eu,false,
2022-01-01 02:00:00,Sweden,Sweden,SE,3.31,28.01,99.68,68.07,entsoe.eu,false,
2022-01-01 03:00:00,Sweden,Sweden,SE,6.05,32.28,99.33,66.91,entsoe.eu,false,
2022-01-01 04:00:00,Sweden,Sweden,SE,3.39,28.64,99.68,67.17,entsoe.eu,false,
2022-01-01 05:00:00,Sweden,Sweden,SE,5.24,31.64,99.44,67.43,entsoe.eu,false,
2022-01-01 06:00:00,Sweden,Sweden,SE,7.35,35.01,99.16,67.81,entsoe.eu,false,
2022-01-01 07:00:00,Sweden,Sweden,SE,5.17,32.66,99.47,68.85,entsoe.eu,false,
2022-01-01 08:00:00,Sweden,Sweden,SE,2.49,28.94,99.82,68.67,entsoe.eu,false,
2022-01-01 09:00:00,Sweden,Sweden,SE,7.72,35.2,99.15,68.09,entsoe.eu,false,
2022-01-01 10:00:00,Sweden,Sweden,SE,21.31,50.26,98.0,66.85,entsoe.eu,false,
2022-01-01 11:00:00,Sweden,Sweden,SE,27.59,57.3,97.05,65.5,entsoe.eu,false,
2022-01-01 12:00:00,Sweden,Sweden,SE,30.7,60.83,96.6,64.63,entsoe.eu,false,
2022-01-01 13:00:00,Sweden,Sweden,SE,22.21,51.1,97.89,65.28,entsoe.eu,false,
2022-01-01 14:00:00,Sweden,Sweden,SE,22.4,51.73,97.88,66.12,entsoe.eu,false,
2022-01-01 15:00:00,Sweden,Sweden,SE,25.29,55.11,97.56,66.86,entsoe.eu,false,
2022-01-01 16:00:00,Sweden,Sweden,SE,13.61,42.9,98.48,68.57,entsoe.eu,false,
2022-01-01 17:00:00,Sweden,Sweden,SE,12.64,40.83,98.43,69.65,entsoe.eu,false,
2022-01-01 18:00:00,Sweden,Sweden,SE,11.32,39.47,98.64,70.21,entsoe.eu,false,
2022-01-01 19:00:00,Sweden,Sweden,SE,6.28,33.25,99.29,70.99,entsoe.eu,false,
2022-01-01 20:00:00,Sweden,Sweden,SE,3.17,28.84,99.71,71.2,entsoe.eu,false,
2022-01-01 21:00:00,Sweden,Sweden,SE,2.36,27.52,99.82,71.13,entsoe.eu,false,
2022-01-01 22:00:00,Sweden,Sweden,SE,2.01,26.03,99.86,71.18,entsoe.eu,false,
2022-01-01 23:00:00,Sweden,Sweden,SE,1.96,25.42,99.86,69.9,entsoe.eu,false,
2022-01-02 00:00:00,Sweden,Sweden,SE,2.01,25.22,99.85,68.89,entsoe.eu,false,
2022-01-02 01:00:00,Sweden,Sweden,SE,1.88,24.72,99.86,68.67,entsoe.eu,false,
2022-01-02 02:00:00,Sweden,Sweden,SE,3.83,27.98,99.59,67.15,entsoe.eu,false,
2022-01-02 03:00:00,Sweden,Sweden,SE,6.19,31.72,99.28,66.62,entsoe.eu,false,
2022-01-02 04:00:00,Sweden,Sweden,SE,7.88,33.9,99.04,66.46,entsoe.eu,false,
2022-01-02 05:00:00,Sweden,Sweden,SE,9.92,36.33,98.77,66.79,entsoe.eu,false,
2022-01-02 06:00:00,Sweden,Sweden,SE,7.35,33.17,99.11,68.39,entsoe.eu,false,
2022-01-02 07:00:00,Sweden,Sweden,SE,7.07,33.09,99.16,69.19,entsoe.eu,false,
2022-01-02 08:00:00,Sweden,Sweden,SE,6.02,32.05,99.34,70.37,entsoe.eu,false,
2022-01-02 09:00:00,Sweden,Sweden,SE,5.36,31.47,99.43,69.89,entsoe.eu,false,
2022-01-02 10:00:00,Sweden,Sweden,SE,4.6,30.77,99.53,69.38,entsoe.eu,false,
2022-01-02 11:00:00,Sweden,Sweden,SE,4.08,30.27,99.6,69.51,entsoe.eu,false,
2022-01-02 12:00:00,Sweden,Sweden,SE,2.36,28.0,99.83,69.27,entsoe.eu,false,
2022-01-02 13:00:00,Sweden,Sweden,SE,3.92,29.78,99.64,69.13,entsoe.eu,false,
2022-01-02 14:00:00,Sweden,Sweden,SE,4.31,29.93,99.59,68.72,entsoe.eu,false,
2022-01-02 15:00:00,Sweden,Sweden,SE,5.1,31.59,99.49,68.68,entsoe.eu,false,
2022-01-02 16:00:00,Sweden,Sweden,SE,5.4,32.15,99.45,68.74,entsoe.eu,false,
2022-01-02 17:00:00,Sweden,Sweden,SE,6.1,33.14,99.36,68.86,entsoe.eu,false,
2022-01-02 18:00:00,Sweden,Sweden,SE,7.57,35.43,99.15,69.05,entsoe.eu,false,
2022-01-02 19:00:00,Sweden,Sweden,SE,7.12,34.37,99.19,68.33,entsoe.eu,false,
2022-01-02 20:00:00,Sweden,Sweden,SE,5.84,33.02,99.36,66.85,entsoe.eu,false,
2022-01-02 21:00:00,Sweden,Sweden,SE,4.97,31.49,99.47,67.22,entsoe.eu,false,
2022-01-02 22:00:00,Sweden,Sweden,SE,9.03,37.54,98.9,64.39,entsoe.eu,false,
2022-01-02 23:00:00,Sweden,Sweden,SE,30.5,62.41,96.55,61.61,entsoe.eu,false,
2022-01-03 00:00:00,Sweden,Sweden,SE,34.43,66.75,96.14,60.13,entsoe.eu,false,
2022-01-03 01:00:00,Sweden,Sweden,SE,36.16,69.05,95.93,59.59,entsoe.eu,false,
2022-01-03 02:00:00,Sweden,Sweden,SE,35.79,68.54,96.0,59.33,entsoe.eu,false,
2022-01-03 03:00:00,Sweden,Sweden,SE,36.76,69.33,95.9,61.09,entsoe.eu,false,
