Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Italy,Italy,IT,317.69,401.21,38.61,36.51,,false,
2021-01-01 01:00:00,Italy,Italy,IT,320.21,403.67,38.89,37.38,,false,
2021-01-01 02:00:00,Italy,Italy,IT,314.39,397.0,40.11,37.97,,false,
2021-01-01 03:00:00,Italy,Italy,IT,311.25,393.58,40.54,37.95,,false,
2021-01-01 04:00:00,Italy,Italy,IT,318.98,402.71,39.06,37.58,,false,
2021-01-01 05:00:00,Italy,Italy,IT,316.33,398.69,40.15,37.83,,false,
2021-01-01 06:00:00,Italy,Italy,IT,301.88,380.7,43.39,38.51,,false,
2021-01-01 07:00:00,Italy,Italy,IT,285.4,359.93,47.09,43.65,,false,
2021-01-01 08:00:00,Italy,Italy,IT,271.83,345.08,48.82,46.3,,false,
2021-01-01 09:00:00,Italy,Italy,IT,271.36,345.59,47.93,45.56,,false,
2021-01-01 10:00:00,Italy,Italy,IT,276.63,351.66,46.75,45.2,,false,
2021-01-01 11:00:00,Italy,Italy,IT,276.93,348.64,48.79,47.85,,false,
2021-01-01 12:00:00,Italy,Italy,IT,273.97,345.95,49.03,47.62,,false,
2021-01-01 13:00:00,Italy,Italy,IT,272.05,346.19,47.8,45.23,,false,
2021-01-01 14:00:00,Italy,Italy,IT,280.84,358.27,44.69,41.43,,false,
2021-01-01 15:00:00,Italy,Italy,IT,290.83,370.48,42.17,37.89,,false,
2021-01-01 16:00:00,Italy,Italy,IT,276.92,353.29,44.86,40.1,,false,
2021-01-01 17:00:00,Italy,Italy,IT,268.7,341.79,47.53,42.15,,false,
2021-01-01 18:00:00,Italy,Italy,IT,267.02,339.36,48.19,42.79,,false,
2021-01-01 19:00:00,Italy,Italy,IT,263.48,335.44,48.81,42.0,,false,
2021-01-01 20:00:00,Italy,Italy,IT,274.68,348.78,46.8,41.36,,false,
2021-01-01 21:00:00,Italy,Italy,IT,289.61,367.79,43.38,40.48,,false,
2021-01-01 22:00:00,Italy,Italy,IT,291.93,369.79,43.82,42.15,,false,
2021-01-01 23:00:00,Italy,Italy,IT,297.87,376.32,43.47,42.72,,false,
2021-01-02 00:00:00,Italy,Italy,IT,292.57,369.22,45.38,44.45,,false,
2021-01-02 01:00:00,Italy,Italy,IT,295.89,373.46,44.62,43.77,,false,
2021-01-02 02:00:00,Italy,Italy,IT,293.85,371.39,44.78,43.88,,false,
2021-01-02 03:00:00,Italy,Italy,IT,289.83,367.0,45.23,44.31,,false,
2021-01-02 04:00:00,Italy,Italy,IT,290.67,367.94,44.85,43.91,,false,
2021-01-02 05:00:00,Italy,Italy,IT,283.18,357.47,47.15,43.79,,false,
2021-01-02 06:00:00,Italy,Italy,IT,268.36,338.88,50.46,45.28,,false,
2021-01-02 07:00:00,Italy,Italy,IT,261.22,330.49,51.42,46.18,,false,
2021-01-02 08:00:00,Italy,Italy,IT,251.12,318.73,53.39,48.38,,false,
2021-01-02 09:00:00,Italy,Italy,IT,240.56,306.59,55.08,50.27,,false,
2021-01-02 10:00:00,Italy,Italy,IT,242.74,309.66,54.26,49.84,,false,
2021-01-02 11:00:00,Italy,Italy,IT,247.36,315.69,52.85,49.54,,false,
2021-01-02 12:00:00,Italy,Italy,IT,254.61,325.19,51.06,46.78,,false,
2021-01-02 13:00:00,Italy,Italy,IT,253.15,323.15,51.63,46.51,,false,
2021-01-02 14:00:00,Italy,Italy,IT,256.88,327.54,50.68,44.41,,false,
2021-01-02 15:00:00,Italy,Italy,IT,266.4,337.09,49.63,43.59,,false,
2021-01-02 16:00:00,Italy,Italy,IT,297.59,364.52,49.48,47.22,,false,
2021-01-02 17:00:00,Italy,Italy,IT,290.62,355.41,51.26,48.55,,false,
2021-01-02 18:00:00,Italy,Italy,IT,275.39,340.92,51.89,47.27,,false,
2021-01-02 19:00:00,Italy,Italy,IT,273.41,342.69,49.97,44.03,,false,
2021-01-02 20:00:00,Italy,Italy,IT,292.66,367.68,45.14,40.68,,false,
2021-01-02 21:00:00,Italy,Italy,IT,307.03,386.39,41.45,38.69,,false,
2021-01-02 22:00:00,Italy,Italy,IT,309.74,389.8,41.12,39.76,,false,
2021-01-02 23:00:00,Italy,Italy,IT,305.58,384.92,42.36,40.8,,false,
2021-01-03 00:00:00,Italy,Italy,IT,300.71,378.49,44.02,42.86,,false,
2021-01-03 01:00:00,Italy,Italy,IT,296.74,373.7,45.22,43.96,,false,
2021-01-03 02:00:00,Italy,Italy,IT,308.24,387.4,43.15,42.05,,false,
2021-01-03 03:00:00,Italy,Italy,IT,312.35,392.43,42.27,41.22,,false,
2021-01-03 04:00:00,Italy,Italy,IT,306.53,385.59,43.08,41.96,,false,
2021-01-03 05:00:00,Italy,Italy,IT,297.23,374.62,44.55,42.8,,false,
2021-01-03 06:00:00,Italy,Italy,IT,280.7,354.49,48.11,44.15,,false,
2021-01-03 07:00:00,Italy,Italy,IT,264.42,334.71,51.56,47.16,,false,
2021-01-03 08:00:00,Italy,Italy,IT,256.2,326.38,51.81,48.11,,false,
2021-01-03 09:00:00,Italy,Italy,IT,256.77,328.32,50.89,48.37,,false,
2021-01-03 10:00:00,Italy,Italy,IT,257.62,329.83,50.27,48.7,,false,
2021-01-03 11:00:00,Italy,Italy,IT,258.15,330.24,50.06,49.13,,false,
2021-01-03 12:00:00,Italy,Italy,IT,262.68,335.38,49.62,48.46,,false,
2021-01-03 13:00:00,Italy,Italy,IT,262.93,334.94,50.29,47.27,,false,
2021-01-03 14:00:00,Italy,Italy,IT,280.0,354.6,47.11,43.55,,false,
2021-01-03 15:00:00,Italy,Italy,IT,281.7,355.94,46.71,42.82,,false,
2021-01-03 16:00:00,Italy,Italy,IT,284.11,358.22,46.2,41.12,,false,
2021-01-03 17:00:00,Italy,Italy,IT,286.17,358.52,47.37,42.89,,false,
2021-01-03 18:00:00,Italy,Italy,IT,308.41,379.96,46.29,43.37,,false,
2021-01-03 19:00:00,Italy,Italy,IT,308.16,382.02,44.8,41.77,,false,
2021-01-03 20:00:00,Italy,Italy,IT,298.4,374.37,44.27,40.28,,false,
2021-01-03 21:00:00,Italy,Italy,IT,315.88,396.46,40.26,38.25,,false,
