Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Italy,Central North Italy,IT-CNO,179.26,245.74,59.45,59.16,entsoe.eu,false,
2024-01-01 01:00:00,Italy,Central North Italy,IT-CNO,178.91,245.94,59.31,58.27,entsoe.eu,false,
2024-01-01 02:00:00,Italy,Central North Italy,IT-CNO,172.77,238.23,60.96,60.68,entsoe.eu,false,
2024-01-01 03:00:00,Italy,Central North Italy,IT-CNO,171.8,236.81,61.33,61.26,entsoe.eu,false,
2024-01-01 04:00:00,Italy,Central North Italy,IT-CNO,172.39,235.88,62.12,61.96,entsoe.eu,false,
2024-01-01 05:00:00,Italy,Central North Italy,IT-CNO,171.71,233.68,62.89,62.64,entsoe.eu,false,
2024-01-01 06:00:00,Italy,Central North Italy,IT-CNO,174.79,235.95,62.95,62.66,entsoe.eu,false,
2024-01-01 07:00:00,Italy,Central North Italy,IT-CNO,165.12,225.15,64.78,64.54,entsoe.eu,false,
2024-01-01 08:00:00,Italy,Central North Italy,IT-CNO,155.42,213.71,66.64,66.46,entsoe.eu,false,
2024-01-01 09:00:00,Italy,Central North Italy,IT-CNO,145.13,202.62,68.22,68.08,entsoe.eu,false,
2024-01-01 10:00:00,Italy,Central North Italy,IT-CNO,150.66,208.74,67.34,67.21,entsoe.eu,false,
2024-01-01 11:00:00,Italy,Central North Italy,IT-CNO,164.5,226.36,63.72,63.61,entsoe.eu,false,
2024-01-01 12:00:00,Italy,Central North Italy,IT-CNO,184.03,250.13,59.05,58.93,entsoe.eu,false,
2024-01-01 13:00:00,Italy,Central North Italy,IT-CNO,185.94,253.06,58.58,58.43,entsoe.eu,false,
2024-01-01 14:00:00,Italy,Central North Italy,IT-CNO,201.49,272.87,54.43,54.02,entsoe.eu,false,
2024-01-01 15:00:00,Italy,Central North Italy,IT-CNO,222.54,297.28,49.39,46.84,entsoe.eu,false,
2024-01-01 16:00:00,Italy,Central North Italy,IT-CNO,223.53,293.1,50.09,45.47,entsoe.eu,false,
2024-01-01 17:00:00,Italy,Central North Italy,IT-CNO,221.09,289.22,50.97,46.99,entsoe.eu,false,
2024-01-01 18:00:00,Italy,Central North Italy,IT-CNO,227.74,299.28,49.13,45.93,entsoe.eu,false,
2024-01-01 19:00:00,Italy,Central North Italy,IT-CNO,225.72,298.79,48.59,45.04,entsoe.eu,false,
2024-01-01 20:00:00,Italy,Central North Italy,IT-CNO,227.95,302.32,48.21,45.23,entsoe.eu,false,
2024-01-01 21:00:00,Italy,Central North Italy,IT-CNO,236.24,313.74,47.2,47.0,entsoe.eu,false,
