Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Italy,Central South Italy,IT-CSO,458.67,536.31,34.72,32.13,entsoe.eu,false,
2023-01-01 01:00:00,Italy,Central South Italy,IT-CSO,462.79,538.42,35.11,32.7,entsoe.eu,false,
2023-01-01 02:00:00,Italy,Central South Italy,IT-CSO,466.24,544.78,34.68,32.66,entsoe.eu,false,
2023-01-01 03:00:00,Italy,Central South Italy,IT-CSO,457.64,541.84,34.33,31.8,entsoe.eu,false,
2023-01-01 04:00:00,Italy,Central South Italy,IT-CSO,463.64,548.18,33.86,31.71,entsoe.eu,false,
2023-01-01 05:00:00,Italy,Central South Italy,IT-CSO,453.32,537.22,34.59,32.31,entsoe.eu,false,
2023-01-01 06:00:00,Italy,Central South Italy,IT-CSO,462.99,548.16,33.39,31.53,entsoe.eu,false,
2023-01-01 07:00:00,Italy,Central South Italy,IT-CSO,471.76,555.17,34.54,34.49,entsoe.eu,false,
2023-01-01 08:00:00,Italy,Central South Italy,IT-CSO,386.83,457.93,47.93,47.79,entsoe.eu,false,
2023-01-01 09:00:00,Italy,Central South Italy,IT-CSO,353.54,418.56,52.34,51.95,entsoe.eu,false,
2023-01-01 10:00:00,Italy,Central South Italy,IT-CSO,338.38,401.8,53.99,53.66,entsoe.eu,false,
2023-01-01 11:00:00,Italy,Central South Italy,IT-CSO,345.71,410.07,52.52,52.14,entsoe.eu,false,
2023-01-01 12:00:00,Italy,Central South Italy,IT-CSO,354.04,420.24,51.01,50.59,entsoe.eu,false,
2023-01-01 13:00:00,Italy,Central South Italy,IT-CSO,388.45,458.81,46.25,45.7,entsoe.eu,false,
2023-01-01 14:00:00,Italy,Central South Italy,IT-CSO,438.24,515.3,37.2,36.52,entsoe.eu,false,
2023-01-01 15:00:00,Italy,Central South Italy,IT-CSO,458.21,541.37,30.73,29.66,entsoe.eu,false,
2023-01-01 16:00:00,Italy,Central South Italy,IT-CSO,435.6,518.45,30.2,29.22,entsoe.eu,false,
2023-01-01 17:00:00,Italy,Central South Italy,IT-CSO,438.08,522.03,28.86,28.11,entsoe.eu,false,
2023-01-01 18:00:00,Italy,Central South Italy,IT-CSO,443.6,521.75,30.01,29.19,entsoe.eu,false,
2023-01-01 19:00:00,Italy,Central South Italy,IT-CSO,434.01,518.71,28.59,27.56,entsoe.eu,false,
2023-01-01 20:00:00,Italy,Central South Italy,IT-CSO,450.31,537.17,26.69,25.26,entsoe.eu,false,
2023-01-01 21:00:00,Italy,Central South Italy,IT-CSO,465.91,553.11,25.76,24.46,entsoe.eu,false,
2023-01-01 22:00:00,Italy,Central South Italy,IT-CSO,486.36,574.91,24.44,23.24,entsoe.eu,false,
2023-01-01 23:00:00,Italy,Central South Italy,IT-CSO,514.05,602.28,24.12,22.84,entsoe.eu,false,
