Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Italy,North Italy,IT-NO,227.09,299.47,50.74,35.38,entsoe.eu,false,
2024-01-01 01:00:00,Italy,North Italy,IT-NO,233.49,307.51,49.22,34.73,entsoe.eu,false,
2024-01-01 02:00:00,Italy,North Italy,IT-NO,232.42,306.56,49.42,34.57,entsoe.eu,false,
2024-01-01 03:00:00,Italy,North Italy,IT-NO,226.97,300.11,50.52,35.55,entsoe.eu,false,
2024-01-01 04:00:00,Italy,North Italy,IT-NO,224.44,296.77,51.1,36.73,entsoe.eu,false,
2024-01-01 05:00:00,Italy,North Italy,IT-NO,227.87,300.7,50.28,36.32,entsoe.eu,false,
2024-01-01 06:00:00,Italy,North Italy,IT-NO,226.8,298.26,50.69,38.4,entsoe.eu,false,
2024-01-01 07:00:00,Italy,North Italy,IT-NO,213.42,281.79,53.62,41.5,entsoe.eu,false,
2024-01-01 08:00:00,Italy,North Italy,IT-NO,206.7,274.02,54.9,45.03,entsoe.eu,false,
2024-01-01 09:00:00,Italy,North Italy,IT-NO,191.1,255.62,58.49,47.71,entsoe.eu,false,
2024-01-01 10:00:00,Italy,North Italy,IT-NO,188.09,252.57,59.12,48.18,entsoe.eu,false,
2024-01-01 11:00:00,Italy,North Italy,IT-NO,197.93,263.16,57.05,46.18,entsoe.eu,false,
2024-01-01 12:00:00,Italy,North Italy,IT-NO,206.43,273.65,54.82,43.02,entsoe.eu,false,
2024-01-01 13:00:00,Italy,North Italy,IT-NO,203.88,269.94,55.09,39.68,entsoe.eu,false,
2024-01-01 14:00:00,Italy,North Italy,IT-NO,218.62,284.86,52.2,35.96,entsoe.eu,false,
2024-01-01 15:00:00,Italy,North Italy,IT-NO,228.58,294.51,50.35,35.82,entsoe.eu,false,
2024-01-01 16:00:00,Italy,North Italy,IT-NO,218.73,273.23,55.22,43.45,entsoe.eu,false,
2024-01-01 17:00:00,Italy,North Italy,IT-NO,215.94,266.31,56.91,46.32,entsoe.eu,false,
2024-01-01 18:00:00,Italy,North Italy,IT-NO,216.44,269.97,55.85,44.5,entsoe.eu,false,
2024-01-01 19:00:00,Italy,North Italy,IT-NO,219.43,276.95,54.2,42.46,entsoe.eu,false,
2024-01-01 20:00:00,Italy,North Italy,IT-NO,225.69,287.38,52.21,39.75,entsoe.eu,false,
2024-01-01 21:00:00,Italy,North Italy,IT-NO,239.74,312.01,47.16,33.69,entsoe.eu,false,
2024-01-01 22:00:00,Italy,North Italy,IT-NO,243.79,318.96,46.1,32.58,entsoe.eu,false,
2024-01-01 23:00:00,Italy,North Italy,IT-NO,223.31,294.28,50.92,33.73,entsoe.eu,false,
2024-01-02 00:00:00,Italy,North Italy,IT-NO,212.36,280.74,53.43,34.73,entsoe.eu,false,
2024-01-02 01:00:00,Italy,North Italy,IT-NO,212.01,280.19,53.7,34.04,entsoe.eu,false,
2024-01-02 02:00:00,Italy,North Italy,IT-NO,215.6,284.84,52.7,33.24,entsoe.eu,false,
2024-01-02 03:00:00,Italy,North Italy,IT-NO,215.36,284.78,52.46,33.08,entsoe.eu,false,
2024-01-02 04:00:00,Italy,North Italy,IT-NO,231.11,304.52,48.44,31.92,entsoe.eu,false,
2024-01-02 05:00:00,Italy,North Italy,IT-NO,248.72,324.76,44.59,30.03,entsoe.eu,false,
2024-01-02 06:00:00,Italy,North Italy,IT-NO,245.98,316.05,46.4,33.61,entsoe.eu,false,
2024-01-02 07:00:00,Italy,North Italy,IT-NO,237.18,302.82,48.82,36.83,entsoe.eu,false,
2024-01-02 08:00:00,Italy,North Italy,IT-NO,242.63,310.34,47.5,36.65,entsoe.eu,false,
