Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Italy,Sardinia,IT-SAR,504.64,606.76,20.3,20.3,entsoe.eu,false,
2022-01-01 01:00:00,Italy,Sardinia,IT-SAR,471.52,573.88,21.85,21.85,entsoe.eu,false,
2022-01-01 02:00:00,Italy,Sardinia,IT-SAR,470.49,573.41,21.38,21.36,entsoe.eu,false,
2022-01-01 03:00:00,Italy,Sardinia,IT-SAR,468.51,571.19,21.55,21.55,entsoe.eu,false,
2022-01-01 04:00:00,Italy,Sardinia,IT-SAR,462.74,564.64,22.22,22.14,entsoe.eu,false,
2022-01-01 05:00:00,Italy,Sardinia,IT-SAR,469.47,572.48,21.26,21.2,entsoe.eu,false,
2022-01-01 06:00:00,Italy,Sardinia,IT-SAR,472.42,576.04,20.88,20.85,entsoe.eu,false,
2022-01-01 07:00:00,Italy,Sardinia,IT-SAR,472.93,576.49,20.93,20.93,entsoe.eu,false,
2022-01-01 08:00:00,Italy,Sardinia,IT-SAR,472.99,576.14,21.13,21.13,entsoe.eu,false,
2022-01-01 09:00:00,Italy,Sardinia,IT-SAR,499.86,596.64,24.02,24.02,entsoe.eu,false,
2022-01-01 10:00:00,Italy,Sardinia,IT-SAR,487.62,583.08,25.57,25.57,entsoe.eu,false,
2022-01-01 11:00:00,Italy,Sardinia,IT-SAR,488.08,582.97,25.95,25.94,entsoe.eu,false,
2022-01-01 12:00:00,Italy,Sardinia,IT-SAR,451.18,548.51,26.13,26.13,entsoe.eu,false,
2022-01-01 13:00:00,Italy,Sardinia,IT-SAR,468.17,565.45,24.89,24.89,entsoe.eu,false,
2022-01-01 14:00:00,Italy,Sardinia,IT-SAR,447.89,542.88,27.03,26.27,entsoe.eu,false,
2022-01-01 15:00:00,Italy,Sardinia,IT-SAR,464.05,565.85,22.34,22.18,entsoe.eu,false,
2022-01-01 16:00:00,Italy,Sardinia,IT-SAR,463.19,564.7,22.53,22.34,entsoe.eu,false,
2022-01-01 17:00:00,Italy,Sardinia,IT-SAR,463.41,564.9,22.55,22.18,entsoe.eu,false,
2022-01-01 18:00:00,Italy,Sardinia,IT-SAR,479.73,575.77,25.67,25.44,entsoe.eu,false,
2022-01-01 19:00:00,Italy,Sardinia,IT-SAR,501.4,595.69,26.11,25.76,entsoe.eu,false,
2022-01-01 20:00:00,Italy,Sardinia,IT-SAR,501.14,599.7,23.22,22.82,entsoe.eu,false,
2022-01-01 21:00:00,Italy,Sardinia,IT-SAR,492.97,599.35,18.25,17.8,entsoe.eu,false,
2022-01-01 22:00:00,Italy,Sardinia,IT-SAR,489.15,595.8,18.25,17.62,entsoe.eu,false,
2022-01-01 23:00:00,Italy,Sardinia,IT-SAR,512.48,623.99,14.2,14.18,entsoe.eu,false,
2022-01-02 00:00:00,Italy,Sardinia,IT-SAR,509.05,619.87,14.55,14.46,entsoe.eu,false,
2022-01-02 01:00:00,Italy,Sardinia,IT-SAR,511.51,622.63,14.35,14.33,entsoe.eu,false,
2022-01-02 02:00:00,Italy,Sardinia,IT-SAR,498.41,607.41,16.19,16.04,entsoe.eu,false,
2022-01-02 03:00:00,Italy,Sardinia,IT-SAR,496.55,605.53,16.42,16.26,entsoe.eu,false,
2022-01-02 04:00:00,Italy,Sardinia,IT-SAR,492.73,600.81,17.17,17.01,entsoe.eu,false,
2022-01-02 05:00:00,Italy,Sardinia,IT-SAR,485.7,592.61,18.18,17.89,entsoe.eu,false,
2022-01-02 06:00:00,Italy,Sardinia,IT-SAR,517.3,624.78,16.24,16.24,entsoe.eu,false,
2022-01-02 07:00:00,Italy,Sardinia,IT-SAR,509.32,613.27,18.73,18.73,entsoe.eu,false,
2022-01-02 08:00:00,Italy,Sardinia,IT-SAR,496.0,595.19,22.63,22.63,entsoe.eu,false,
2022-01-02 09:00:00,Italy,Sardinia,IT-SAR,480.63,574.26,27.2,27.19,entsoe.eu,false,
2022-01-02 10:00:00,Italy,Sardinia,IT-SAR,460.25,554.88,27.24,27.24,entsoe.eu,false,
2022-01-02 11:00:00,Italy,Sardinia,IT-SAR,451.0,545.3,27.98,27.98,entsoe.eu,false,
2022-01-02 12:00:00,Italy,Sardinia,IT-SAR,415.54,506.04,32.48,32.48,entsoe.eu,false,
2022-01-02 13:00:00,Italy,Sardinia,IT-SAR,393.12,482.88,34.15,34.15,entsoe.eu,false,
2022-01-02 14:00:00,Italy,Sardinia,IT-SAR,401.24,492.02,32.85,32.85,entsoe.eu,false,
2022-01-02 15:00:00,Italy,Sardinia,IT-SAR,451.99,547.38,26.94,26.94,entsoe.eu,false,
2022-01-02 16:00:00,Italy,Sardinia,IT-SAR,477.33,560.3,34.73,34.73,entsoe.eu,false,
2022-01-02 17:00:00,Italy,Sardinia,IT-SAR,492.8,573.57,35.17,35.17,entsoe.eu,false,
2022-01-02 18:00:00,Italy,Sardinia,IT-SAR,498.14,579.67,34.4,34.4,entsoe.eu,false,
2022-01-02 19:00:00,Italy,Sardinia,IT-SAR,506.33,591.99,31.25,31.25,entsoe.eu,false,
2022-01-02 20:00:00,Italy,Sardinia,IT-SAR,501.76,591.94,28.44,28.44,entsoe.eu,false,
2022-01-02 21:00:00,Italy,Sardinia,IT-SAR,493.02,587.77,25.6,25.6,entsoe.eu,false,
2022-01-02 22:00:00,Italy,Sardinia,IT-SAR,449.46,547.38,25.38,25.38,entsoe.eu,false,
2022-01-02 23:00:00,Italy,Sardinia,IT-SAR,453.55,553.4,24.14,24.14,entsoe.eu,false,
2022-01-03 00:00:00,Italy,Sardinia,IT-SAR,454.45,554.53,23.84,23.84,entsoe.eu,false,
2022-01-03 01:00:00,Italy,Sardinia,IT-SAR,427.03,522.6,27.85,27.85,entsoe.eu,false,
2022-01-03 02:00:00,Italy,Sardinia,IT-SAR,419.66,513.91,28.98,28.98,entsoe.eu,false,
2022-01-03 03:00:00,Italy,Sardinia,IT-SAR,430.45,526.43,27.43,27.43,entsoe.eu,false,
2022-01-03 04:00:00,Italy,Sardinia,IT-SAR,434.64,531.1,27.01,27.01,entsoe.eu,false,
2022-01-03 05:00:00,Italy,Sardinia,IT-SAR,469.12,566.65,24.35,24.23,entsoe.eu,false,
2022-01-03 06:00:00,Italy,Sardinia,IT-SAR,485.17,584.1,22.89,22.89,entsoe.eu,false,
2022-01-03 07:00:00,Italy,Sardinia,IT-SAR,473.58,565.41,28.31,28.31,entsoe.eu,false,
2022-01-03 08:00:00,Italy,Sardinia,IT-SAR,438.89,525.63,33.53,33.53,entsoe.eu,false,
2022-01-03 09:00:00,Italy,Sardinia,IT-SAR,400.99,487.01,35.91,35.91,entsoe.eu,false,
2022-01-03 10:00:00,Italy,Sardinia,IT-SAR,384.88,468.56,38.3,38.3,entsoe.eu,false,
2022-01-03 11:00:00,Italy,Sardinia,IT-SAR,368.99,450.19,40.57,40.57,entsoe.eu,false,
2022-01-03 12:00:00,Italy,Sardinia,IT-SAR,366.19,446.84,40.94,40.94,entsoe.eu,false,
2022-01-03 13:00:00,Italy,Sardinia,IT-SAR,374.25,456.35,39.52,39.52,entsoe.eu,false,
2022-01-03 14:00:00,Italy,Sardinia,IT-SAR,398.11,483.97,35.88,35.83,entsoe.eu,false,
2022-01-03 15:00:00,Italy,Sardinia,IT-SAR,426.63,518.95,30.23,30.23,entsoe.eu,false,
2022-01-03 16:00:00,Italy,Sardinia,IT-SAR,442.73,537.39,27.48,27.44,entsoe.eu,false,
2022-01-03 17:00:00,Italy,Sardinia,IT-SAR,472.27,569.3,24.41,24.38,entsoe.eu,false,
2022-01-03 18:00:00,Italy,Sardinia,IT-SAR,472.08,568.96,24.43,24.37,entsoe.eu,false,
2022-01-03 19:00:00,Italy,Sardinia,IT-SAR,492.45,582.89,28.31,28.3,entsoe.eu,false,
2022-01-03 20:00:00,Italy,Sardinia,IT-SAR,482.34,580.71,23.15,23.05,entsoe.eu,false,
2022-01-03 21:00:00,Italy,Sardinia,IT-SAR,473.78,572.23,23.62,23.52,entsoe.eu,false,
2022-01-03 22:00:00,Italy,Sardinia,IT-SAR,455.34,556.07,23.6,23.6,entsoe.eu,false,
2022-01-03 23:00:00,Italy,Sardinia,IT-SAR,471.1,570.94,23.12,23.12,entsoe.eu,false,
2022-01-04 00:00:00,Italy,Sardinia,IT-SAR,457.66,554.4,25.45,24.93,entsoe.eu,false,
2022-01-04 01:00:00,Italy,Sardinia,IT-SAR,423.06,518.43,28.11,27.74,entsoe.eu,false,
2022-01-04 02:00:00,Italy,Sardinia,IT-SAR,422.65,517.4,28.59,28.59,entsoe.eu,false,
2022-01-04 03:00:00,Italy,Sardinia,IT-SAR,423.98,519.17,28.23,28.19,entsoe.eu,false,
2022-01-04 04:00:00,Italy,Sardinia,IT-SAR,434.05,531.14,26.52,26.33,entsoe.eu,false,
2022-01-04 05:00:00,Italy,Sardinia,IT-SAR,460.0,557.09,24.94,24.79,entsoe.eu,false,
2022-01-04 06:00:00,Italy,Sardinia,IT-SAR,494.09,591.61,23.55,23.55,entsoe.eu,false,
2022-01-04 07:00:00,Italy,Sardinia,IT-SAR,491.79,585.1,26.7,26.7,entsoe.eu,false,
2022-01-04 08:00:00,Italy,Sardinia,IT-SAR,427.82,516.5,33.28,33.28,entsoe.eu,false,
2022-01-04 09:00:00,Italy,Sardinia,IT-SAR,405.44,493.2,35.13,35.13,entsoe.eu,false,
2022-01-04 10:00:00,Italy,Sardinia,IT-SAR,387.69,473.91,37.28,37.28,entsoe.eu,false,
2022-01-04 11:00:00,Italy,Sardinia,IT-SAR,389.49,477.09,36.33,36.33,entsoe.eu,false,
2022-01-04 12:00:00,Italy,Sardinia,IT-SAR,397.55,483.66,36.63,36.63,entsoe.eu,false,
2022-01-04 13:00:00,Italy,Sardinia,IT-SAR,404.99,492.14,35.37,35.37,entsoe.eu,false,
2022-01-04 14:00:00,Italy,Sardinia,IT-SAR,386.83,475.26,35.48,35.48,entsoe.eu,false,
2022-01-04 15:00:00,Italy,Sardinia,IT-SAR,393.91,483.3,34.05,34.05,entsoe.eu,false,
2022-01-04 16:00:00,Italy,Sardinia,IT-SAR,410.72,502.23,31.36,31.36,entsoe.eu,false,
2022-01-04 17:00:00,Italy,Sardinia,IT-SAR,420.05,511.55,30.64,30.64,entsoe.eu,false,
2022-01-04 18:00:00,Italy,Sardinia,IT-SAR,441.11,532.85,29.31,29.31,entsoe.eu,false,
2022-01-04 19:00:00,Italy,Sardinia,IT-SAR,417.81,508.39,31.35,31.35,entsoe.eu,false,
2022-01-04 20:00:00,Italy,Sardinia,IT-SAR,403.45,492.61,33.07,33.07,entsoe.eu,false,
2022-01-04 21:00:00,Italy,Sardinia,IT-SAR,400.19,484.88,35.74,35.71,entsoe.eu,false,
2022-01-04 22:00:00,Italy,Sardinia,IT-SAR,395.76,479.77,36.37,36.34,entsoe.eu,false,
2022-01-04 23:00:00,Italy,Sardinia,IT-SAR,351.99,432.03,41.29,41.29,entsoe.eu,false,
2022-01-05 00:00:00,Italy,Sardinia,IT-SAR,340.56,418.99,42.92,42.92,entsoe.eu,false,
2022-01-05 01:00:00,Italy,Sardinia,IT-SAR,345.0,423.95,42.37,42.37,entsoe.eu,false,
2022-01-05 02:00:00,Italy,Sardinia,IT-SAR,367.93,446.84,41.08,41.08,entsoe.eu,false,
2022-01-05 03:00:00,Italy,Sardinia,IT-SAR,370.19,449.29,40.85,40.85,entsoe.eu,false,
2022-01-05 04:00:00,Italy,Sardinia,IT-SAR,361.26,438.76,42.27,42.27,entsoe.eu,false,
2022-01-05 05:00:00,Italy,Sardinia,IT-SAR,369.96,448.88,40.96,40.96,entsoe.eu,false,
2022-01-05 06:00:00,Italy,Sardinia,IT-SAR,370.8,450.35,40.57,40.57,entsoe.eu,false,
2022-01-05 07:00:00,Italy,Sardinia,IT-SAR,323.5,399.84,45.17,45.17,entsoe.eu,false,
2022-01-05 08:00:00,Italy,Sardinia,IT-SAR,327.88,400.35,47.84,47.84,entsoe.eu,false,
2022-01-05 09:00:00,Italy,Sardinia,IT-SAR,306.66,378.39,49.34,49.34,entsoe.eu,false,
2022-01-05 10:00:00,Italy,Sardinia,IT-SAR,294.15,365.82,49.85,49.85,entsoe.eu,false,
2022-01-05 11:00:00,Italy,Sardinia,IT-SAR,271.1,337.93,53.89,53.89,entsoe.eu,false,
2022-01-05 12:00:00,Italy,Sardinia,IT-SAR,297.78,364.68,52.21,52.21,entsoe.eu,false,
2022-01-05 13:00:00,Italy,Sardinia,IT-SAR,306.14,374.09,50.94,50.94,entsoe.eu,false,
2022-01-05 14:00:00,Italy,Sardinia,IT-SAR,281.01,345.93,53.26,53.26,entsoe.eu,false,
2022-01-05 15:00:00,Italy,Sardinia,IT-SAR,307.27,370.03,54.49,54.49,entsoe.eu,false,
2022-01-05 16:00:00,Italy,Sardinia,IT-SAR,320.33,390.41,48.83,48.83,entsoe.eu,false,
2022-01-05 17:00:00,Italy,Sardinia,IT-SAR,311.29,379.74,50.22,50.22,entsoe.eu,false,
2022-01-05 18:00:00,Italy,Sardinia,IT-SAR,310.26,378.52,50.39,50.39,entsoe.eu,false,
2022-01-05 19:00:00,Italy,Sardinia,IT-SAR,322.15,392.51,48.51,48.51,entsoe.eu,false,
2022-01-05 20:00:00,Italy,Sardinia,IT-SAR,331.65,404.06,46.74,46.74,entsoe.eu,false,
2022-01-05 21:00:00,Italy,Sardinia,IT-SAR,334.21,406.69,46.57,46.57,entsoe.eu,false,
2022-01-05 22:00:00,Italy,Sardinia,IT-SAR,338.61,411.85,45.88,45.88,entsoe.eu,false,
2022-01-05 23:00:00,Italy,Sardinia,IT-SAR,323.53,395.51,47.47,47.47,entsoe.eu,false,
2022-01-06 00:00:00,Italy,Sardinia,IT-SAR,326.89,398.29,47.61,47.61,entsoe.eu,false,
2022-01-06 01:00:00,Italy,Sardinia,IT-SAR,332.11,403.79,47.15,47.15,entsoe.eu,false,
2022-01-06 02:00:00,Italy,Sardinia,IT-SAR,338.68,411.66,46.03,46.03,entsoe.eu,false,
2022-01-06 03:00:00,Italy,Sardinia,IT-SAR,347.69,422.34,44.55,44.55,entsoe.eu,false,
2022-01-06 04:00:00,Italy,Sardinia,IT-SAR,352.73,428.36,43.71,43.71,entsoe.eu,false,
2022-01-06 05:00:00,Italy,Sardinia,IT-SAR,354.54,430.7,43.38,43.38,entsoe.eu,false,
2022-01-06 06:00:00,Italy,Sardinia,IT-SAR,375.63,449.16,44.44,44.44,entsoe.eu,false,
2022-01-06 07:00:00,Italy,Sardinia,IT-SAR,376.28,449.97,44.38,44.38,entsoe.eu,false,
2022-01-06 08:00:00,Italy,Sardinia,IT-SAR,353.59,424.31,47.75,47.75,entsoe.eu,false,
2022-01-06 09:00:00,Italy,Sardinia,IT-SAR,331.67,399.35,50.96,50.96,entsoe.eu,false,
2022-01-06 10:00:00,Italy,Sardinia,IT-SAR,325.99,398.25,47.96,47.96,entsoe.eu,false,
2022-01-06 11:00:00,Italy,Sardinia,IT-SAR,333.57,407.58,46.75,46.75,entsoe.eu,false,
2022-01-06 12:00:00,Italy,Sardinia,IT-SAR,355.12,433.21,43.27,43.27,entsoe.eu,false,
2022-01-06 13:00:00,Italy,Sardinia,IT-SAR,371.22,452.03,40.73,40.73,entsoe.eu,false,
2022-01-06 14:00:00,Italy,Sardinia,IT-SAR,376.96,459.3,38.95,38.95,entsoe.eu,false,
2022-01-06 15:00:00,Italy,Sardinia,IT-SAR,399.1,485.51,34.67,34.66,entsoe.eu,false,
2022-01-06 16:00:00,Italy,Sardinia,IT-SAR,429.16,523.45,28.51,28.5,entsoe.eu,false,
2022-01-06 17:00:00,Italy,Sardinia,IT-SAR,429.78,525.17,27.83,27.82,entsoe.eu,false,
2022-01-06 18:00:00,Italy,Sardinia,IT-SAR,435.2,531.38,26.97,26.94,entsoe.eu,false,
2022-01-06 19:00:00,Italy,Sardinia,IT-SAR,474.33,572.68,23.59,23.57,entsoe.eu,false,
2022-01-06 20:00:00,Italy,Sardinia,IT-SAR,460.89,561.02,23.21,23.16,entsoe.eu,false,
2022-01-06 21:00:00,Italy,Sardinia,IT-SAR,457.01,557.34,23.48,23.47,entsoe.eu,false,
2022-01-06 22:00:00,Italy,Sardinia,IT-SAR,449.31,548.95,24.48,24.48,entsoe.eu,false,
2022-01-06 23:00:00,Italy,Sardinia,IT-SAR,458.23,554.56,25.7,25.67,entsoe.eu,false,
2022-01-07 00:00:00,Italy,Sardinia,IT-SAR,444.3,538.14,27.7,27.59,entsoe.eu,false,
2022-01-07 01:00:00,Italy,Sardinia,IT-SAR,444.3,537.23,28.44,28.43,entsoe.eu,false,
2022-01-07 02:00:00,Italy,Sardinia,IT-SAR,439.02,530.69,29.55,29.55,entsoe.eu,false,
2022-01-07 03:00:00,Italy,Sardinia,IT-SAR,426.27,515.41,31.77,31.77,entsoe.eu,false,
2022-01-07 04:00:00,Italy,Sardinia,IT-SAR,423.75,512.33,32.24,32.24,entsoe.eu,false,
2022-01-07 05:00:00,Italy,Sardinia,IT-SAR,407.11,493.55,34.27,34.27,entsoe.eu,false,
2022-01-07 06:00:00,Italy,Sardinia,IT-SAR,361.04,444.33,38.46,38.46,entsoe.eu,false,
2022-01-07 07:00:00,Italy,Sardinia,IT-SAR,354.83,434.98,39.28,39.28,entsoe.eu,false,
2022-01-07 08:00:00,Italy,Sardinia,IT-SAR,355.53,436.52,39.2,39.2,entsoe.eu,false,
2022-01-07 09:00:00,Italy,Sardinia,IT-SAR,339.52,420.92,41.94,41.94,entsoe.eu,false,
2022-01-07 10:00:00,Italy,Sardinia,IT-SAR,329.15,409.33,43.68,43.68,entsoe.eu,false,
2022-01-07 11:00:00,Italy,Sardinia,IT-SAR,338.29,420.12,42.23,42.2,entsoe.eu,false,
2022-01-07 12:00:00,Italy,Sardinia,IT-SAR,340.36,422.59,41.86,41.81,entsoe.eu,false,
2022-01-07 13:00:00,Italy,Sardinia,IT-SAR,356.08,440.71,39.16,39.08,entsoe.eu,false,
2022-01-07 14:00:00,Italy,Sardinia,IT-SAR,366.88,452.73,37.66,37.61,entsoe.eu,false,
2022-01-07 15:00:00,Italy,Sardinia,IT-SAR,406.22,498.08,31.77,31.76,entsoe.eu,false,
2022-01-07 16:00:00,Italy,Sardinia,IT-SAR,405.94,497.23,31.38,31.28,entsoe.eu,false,
2022-01-07 17:00:00,Italy,Sardinia,IT-SAR,397.08,486.2,33.12,33.07,entsoe.eu,false,
2022-01-07 18:00:00,Italy,Sardinia,IT-SAR,385.6,472.48,35.12,35.08,entsoe.eu,false,
2022-01-07 19:00:00,Italy,Sardinia,IT-SAR,395.17,484.67,32.77,32.66,entsoe.eu,false,
