Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Italy,Sicily,IT-SIC,575.87,741.84,2.35,2.35,entsoe.eu,false,
2023-01-01 01:00:00,Italy,Sicily,IT-SIC,606.34,781.15,2.75,2.75,entsoe.eu,false,
2023-01-01 02:00:00,Italy,Sicily,IT-SIC,613.53,790.44,2.99,2.99,entsoe.eu,false,
2023-01-01 03:00:00,Italy,Sicily,IT-SIC,612.46,789.06,3.05,3.05,entsoe.eu,false,
2023-01-01 04:00:00,Italy,Sicily,IT-SIC,613.64,790.58,2.92,2.92,entsoe.eu,false,
2023-01-01 05:00:00,Italy,Sicily,IT-SIC,612.13,788.79,3.2,3.2,entsoe.eu,false,
2023-01-01 06:00:00,Italy,Sicily,IT-SIC,602.85,777.18,4.65,4.65,entsoe.eu,false,
2023-01-01 07:00:00,Italy,Sicily,IT-SIC,513.18,665.3,18.88,18.88,entsoe.eu,false,
2023-01-01 08:00:00,Italy,Sicily,IT-SIC,437.62,571.17,30.82,30.82,entsoe.eu,false,
2023-01-01 09:00:00,Italy,Sicily,IT-SIC,432.45,564.64,31.59,31.59,entsoe.eu,false,
2023-01-01 10:00:00,Italy,Sicily,IT-SIC,435.15,568.14,31.21,31.21,entsoe.eu,false,
2023-01-01 11:00:00,Italy,Sicily,IT-SIC,438.19,571.89,30.56,30.56,entsoe.eu,false,
2023-01-01 12:00:00,Italy,Sicily,IT-SIC,440.78,575.13,30.13,30.13,entsoe.eu,false,
2023-01-01 13:00:00,Italy,Sicily,IT-SIC,445.15,580.34,28.88,28.88,entsoe.eu,false,
2023-01-01 14:00:00,Italy,Sicily,IT-SIC,484.45,628.76,20.39,20.39,entsoe.eu,false,
2023-01-01 15:00:00,Italy,Sicily,IT-SIC,546.54,705.22,7.25,7.25,entsoe.eu,false,
2023-01-01 16:00:00,Italy,Sicily,IT-SIC,559.78,721.6,4.74,4.74,entsoe.eu,false,
2023-01-01 17:00:00,Italy,Sicily,IT-SIC,559.43,721.15,4.77,4.77,entsoe.eu,false,
2023-01-01 18:00:00,Italy,Sicily,IT-SIC,554.97,715.47,5.15,5.15,entsoe.eu,false,
2023-01-01 19:00:00,Italy,Sicily,IT-SIC,554.95,715.25,5.47,5.47,entsoe.eu,false,
2023-01-01 20:00:00,Italy,Sicily,IT-SIC,548.86,707.75,6.43,6.43,entsoe.eu,false,
2023-01-01 21:00:00,Italy,Sicily,IT-SIC,545.83,704.11,8.71,8.71,entsoe.eu,false,
2023-01-01 22:00:00,Italy,Sicily,IT-SIC,545.67,704.07,9.95,9.95,entsoe.eu,false,
2023-01-01 23:00:00,Italy,Sicily,IT-SIC,536.46,692.16,11.51,11.51,entsoe.eu,false,
2023-01-02 00:00:00,Italy,Sicily,IT-SIC,526.42,679.52,13.26,13.26,entsoe.eu,false,
2023-01-02 01:00:00,Italy,Sicily,IT-SIC,516.55,667.01,14.88,14.88,entsoe.eu,false,
2023-01-02 02:00:00,Italy,Sicily,IT-SIC,526.87,679.18,13.24,13.24,entsoe.eu,false,
2023-01-02 03:00:00,Italy,Sicily,IT-SIC,537.15,691.23,11.28,11.28,entsoe.eu,false,
2023-01-02 04:00:00,Italy,Sicily,IT-SIC,541.23,696.38,10.68,10.68,entsoe.eu,false,
2023-01-02 05:00:00,Italy,Sicily,IT-SIC,541.32,696.43,9.85,9.85,entsoe.eu,false,
2023-01-02 06:00:00,Italy,Sicily,IT-SIC,536.8,690.71,8.69,8.69,entsoe.eu,false,
2023-01-02 07:00:00,Italy,Sicily,IT-SIC,483.42,624.6,17.64,17.64,entsoe.eu,false,
2023-01-02 08:00:00,Italy,Sicily,IT-SIC,418.55,544.16,28.78,28.78,entsoe.eu,false,
2023-01-02 09:00:00,Italy,Sicily,IT-SIC,407.36,530.36,31.85,31.85,entsoe.eu,false,
2023-01-02 10:00:00,Italy,Sicily,IT-SIC,403.69,526.71,33.36,33.36,entsoe.eu,false,
2023-01-02 11:00:00,Italy,Sicily,IT-SIC,403.83,527.15,33.41,33.41,entsoe.eu,false,
2023-01-02 12:00:00,Italy,Sicily,IT-SIC,406.44,530.45,32.96,32.96,entsoe.eu,false,
2023-01-02 13:00:00,Italy,Sicily,IT-SIC,429.24,558.81,29.13,29.13,entsoe.eu,false,
2023-01-02 14:00:00,Italy,Sicily,IT-SIC,475.95,616.89,20.63,20.63,entsoe.eu,false,
2023-01-02 15:00:00,Italy,Sicily,IT-SIC,526.41,679.08,10.51,10.51,entsoe.eu,false,
2023-01-02 16:00:00,Italy,Sicily,IT-SIC,534.24,683.53,8.83,8.83,entsoe.eu,false,
2023-01-02 17:00:00,Italy,Sicily,IT-SIC,532.46,680.51,9.07,9.07,entsoe.eu,false,
2023-01-02 18:00:00,Italy,Sicily,IT-SIC,531.49,678.45,9.21,9.21,entsoe.eu,false,
2023-01-02 19:00:00,Italy,Sicily,IT-SIC,535.55,683.72,8.9,8.9,entsoe.eu,false,
2023-01-02 20:00:00,Italy,Sicily,IT-SIC,525.76,673.09,12.41,12.41,entsoe.eu,false,
2023-01-02 21:00:00,Italy,Sicily,IT-SIC,533.43,682.22,14.36,14.36,entsoe.eu,false,
2023-01-02 22:00:00,Italy,Sicily,IT-SIC,535.93,689.16,14.93,14.93,entsoe.eu,false,
2023-01-02 23:00:00,Italy,Sicily,IT-SIC,531.08,686.08,16.28,16.28,entsoe.eu,false,
2023-01-03 00:00:00,Italy,Sicily,IT-SIC,530.09,684.87,16.79,16.79,entsoe.eu,false,
2023-01-03 01:00:00,Italy,Sicily,IT-SIC,528.31,682.61,17.11,17.11,entsoe.eu,false,
2023-01-03 02:00:00,Italy,Sicily,IT-SIC,530.34,685.18,16.77,16.77,entsoe.eu,false,
2023-01-03 03:00:00,Italy,Sicily,IT-SIC,538.74,695.84,15.45,15.45,entsoe.eu,false,
2023-01-03 04:00:00,Italy,Sicily,IT-SIC,547.58,707.04,14.04,14.04,entsoe.eu,false,
2023-01-03 05:00:00,Italy,Sicily,IT-SIC,557.47,719.52,12.12,12.12,entsoe.eu,false,
