Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Italy,South Italy,IT-SO,305.06,385.16,52.79,52.79,entsoe.eu,false,
2022-01-01 01:00:00,Italy,South Italy,IT-SO,290.99,367.93,55.65,55.65,entsoe.eu,false,
2022-01-01 02:00:00,Italy,South Italy,IT-SO,281.24,355.71,57.11,57.11,entsoe.eu,false,
2022-01-01 03:00:00,Italy,South Italy,IT-SO,272.21,344.24,58.5,58.5,entsoe.eu,false,
2022-01-01 04:00:00,Italy,South Italy,IT-SO,286.62,361.93,55.92,55.92,entsoe.eu,false,
2022-01-01 05:00:00,Italy,South Italy,IT-SO,310.46,391.08,51.91,51.91,entsoe.eu,false,
2022-01-01 06:00:00,Italy,South Italy,IT-SO,316.74,395.39,52.17,51.68,entsoe.eu,false,
2022-01-01 07:00:00,Italy,South Italy,IT-SO,272.23,343.13,59.23,58.81,entsoe.eu,false,
2022-01-01 08:00:00,Italy,South Italy,IT-SO,245.32,312.92,62.79,62.47,entsoe.eu,false,
2022-01-01 09:00:00,Italy,South Italy,IT-SO,225.25,289.69,65.05,64.82,entsoe.eu,false,
2022-01-01 10:00:00,Italy,South Italy,IT-SO,215.94,279.75,64.67,64.55,entsoe.eu,false,
2022-01-01 11:00:00,Italy,South Italy,IT-SO,201.24,260.99,68.02,67.84,entsoe.eu,false,
2022-01-01 12:00:00,Italy,South Italy,IT-SO,197.43,255.23,68.69,68.43,entsoe.eu,false,
2022-01-01 13:00:00,Italy,South Italy,IT-SO,202.97,261.55,67.74,67.51,entsoe.eu,false,
2022-01-01 14:00:00,Italy,South Italy,IT-SO,247.27,316.83,58.64,58.64,entsoe.eu,false,
2022-01-01 15:00:00,Italy,South Italy,IT-SO,296.36,375.64,49.1,49.1,entsoe.eu,false,
2022-01-01 16:00:00,Italy,South Italy,IT-SO,314.04,399.81,43.11,43.11,entsoe.eu,false,
2022-01-01 17:00:00,Italy,South Italy,IT-SO,333.76,425.1,37.84,37.84,entsoe.eu,false,
2022-01-01 18:00:00,Italy,South Italy,IT-SO,350.67,446.33,34.1,34.1,entsoe.eu,false,
2022-01-01 19:00:00,Italy,South Italy,IT-SO,357.33,454.38,32.92,32.92,entsoe.eu,false,
2022-01-01 20:00:00,Italy,South Italy,IT-SO,366.19,465.65,31.22,31.22,entsoe.eu,false,
2022-01-01 21:00:00,Italy,South Italy,IT-SO,364.55,460.97,32.23,32.23,entsoe.eu,false,
2022-01-01 22:00:00,Italy,South Italy,IT-SO,356.74,449.18,36.9,36.9,entsoe.eu,false,
2022-01-01 23:00:00,Italy,South Italy,IT-SO,333.12,420.06,44.67,44.67,entsoe.eu,false,
2022-01-02 00:00:00,Italy,South Italy,IT-SO,339.38,426.65,46.4,46.4,entsoe.eu,false,
2022-01-02 01:00:00,Italy,South Italy,IT-SO,349.43,439.97,42.88,42.88,entsoe.eu,false,
2022-01-02 02:00:00,Italy,South Italy,IT-SO,348.64,438.57,44.35,44.35,entsoe.eu,false,
2022-01-02 03:00:00,Italy,South Italy,IT-SO,358.86,450.84,42.81,42.81,entsoe.eu,false,
2022-01-02 04:00:00,Italy,South Italy,IT-SO,356.16,447.53,43.31,43.31,entsoe.eu,false,
2022-01-02 05:00:00,Italy,South Italy,IT-SO,366.62,460.24,41.99,41.99,entsoe.eu,false,
2022-01-02 06:00:00,Italy,South Italy,IT-SO,373.49,466.96,43.48,43.29,entsoe.eu,false,
2022-01-02 07:00:00,Italy,South Italy,IT-SO,324.42,408.62,52.48,52.25,entsoe.eu,false,
2022-01-02 08:00:00,Italy,South Italy,IT-SO,288.3,367.2,57.02,57.02,entsoe.eu,false,
2022-01-02 09:00:00,Italy,South Italy,IT-SO,242.62,313.25,62.28,62.28,entsoe.eu,false,
2022-01-02 10:00:00,Italy,South Italy,IT-SO,225.33,293.12,63.87,63.87,entsoe.eu,false,
2022-01-02 11:00:00,Italy,South Italy,IT-SO,216.77,282.27,65.46,65.46,entsoe.eu,false,
2022-01-02 12:00:00,Italy,South Italy,IT-SO,219.79,285.79,64.07,64.07,entsoe.eu,false,
2022-01-02 13:00:00,Italy,South Italy,IT-SO,227.49,294.1,63.08,63.08,entsoe.eu,false,
2022-01-02 14:00:00,Italy,South Italy,IT-SO,273.82,349.6,53.61,53.61,entsoe.eu,false,
2022-01-02 15:00:00,Italy,South Italy,IT-SO,313.5,398.17,44.44,44.44,entsoe.eu,false,
2022-01-02 16:00:00,Italy,South Italy,IT-SO,291.25,371.97,47.5,47.5,entsoe.eu,false,
2022-01-02 17:00:00,Italy,South Italy,IT-SO,298.04,380.91,44.3,44.3,entsoe.eu,false,
2022-01-02 18:00:00,Italy,South Italy,IT-SO,307.08,392.41,41.51,41.48,entsoe.eu,false,
2022-01-02 19:00:00,Italy,South Italy,IT-SO,300.48,384.35,43.04,43.04,entsoe.eu,false,
2022-01-02 20:00:00,Italy,South Italy,IT-SO,312.13,396.62,41.26,41.17,entsoe.eu,false,
2022-01-02 21:00:00,Italy,South Italy,IT-SO,298.41,377.6,45.99,45.89,entsoe.eu,false,
2022-01-02 22:00:00,Italy,South Italy,IT-SO,295.68,373.0,47.72,47.72,entsoe.eu,false,
2022-01-02 23:00:00,Italy,South Italy,IT-SO,271.68,343.82,54.84,54.84,entsoe.eu,false,
2022-01-03 00:00:00,Italy,South Italy,IT-SO,257.28,325.39,58.73,58.73,entsoe.eu,false,
2022-01-03 01:00:00,Italy,South Italy,IT-SO,252.99,320.01,59.83,59.83,entsoe.eu,false,
2022-01-03 02:00:00,Italy,South Italy,IT-SO,255.2,322.79,59.47,59.47,entsoe.eu,false,
2022-01-03 03:00:00,Italy,South Italy,IT-SO,262.16,331.48,57.71,57.71,entsoe.eu,false,
2022-01-03 04:00:00,Italy,South Italy,IT-SO,279.41,353.0,53.5,53.5,entsoe.eu,false,
2022-01-03 05:00:00,Italy,South Italy,IT-SO,296.48,375.72,47.62,47.62,entsoe.eu,false,
2022-01-03 06:00:00,Italy,South Italy,IT-SO,309.12,393.45,42.73,42.73,entsoe.eu,false,
2022-01-03 07:00:00,Italy,South Italy,IT-SO,295.52,377.2,43.79,43.69,entsoe.eu,false,
2022-01-03 08:00:00,Italy,South Italy,IT-SO,279.85,358.87,47.02,46.91,entsoe.eu,false,
2022-01-03 09:00:00,Italy,South Italy,IT-SO,259.88,335.3,50.66,50.56,entsoe.eu,false,
2022-01-03 10:00:00,Italy,South Italy,IT-SO,251.44,324.24,52.24,52.14,entsoe.eu,false,
2022-01-03 11:00:00,Italy,South Italy,IT-SO,250.57,323.25,51.94,51.87,entsoe.eu,false,
2022-01-03 12:00:00,Italy,South Italy,IT-SO,266.44,342.2,48.58,48.51,entsoe.eu,false,
