Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Italy,Italy,IT,271.27,342.41,51.65,40.1,,false,
2022-01-01 01:00:00,Italy,Italy,IT,275.03,347.07,51.65,40.68,,false,
2022-01-01 02:00:00,Italy,Italy,IT,272.27,344.02,52.4,41.22,,false,
2022-01-01 03:00:00,Italy,Italy,IT,262.04,330.95,54.48,42.67,,false,
2022-01-01 04:00:00,Italy,Italy,IT,264.5,333.71,54.02,41.72,,false,
2022-01-01 05:00:00,Italy,Italy,IT,264.4,333.45,54.02,41.18,,false,
2022-01-01 06:00:00,Italy,Italy,IT,258.98,326.31,55.48,42.94,,false,
2022-01-01 07:00:00,Italy,Italy,IT,234.12,296.1,59.88,46.99,,false,
2022-01-01 08:00:00,Italy,Italy,IT,213.87,272.99,63.36,50.88,,false,
2022-01-01 09:00:00,Italy,Italy,IT,205.3,264.06,64.1,52.07,,false,
2022-01-01 10:00:00,Italy,Italy,IT,208.98,269.94,62.02,51.13,,false,
2022-01-01 11:00:00,Italy,Italy,IT,210.42,271.15,62.32,52.54,,false,
2022-01-01 12:00:00,Italy,Italy,IT,208.97,269.76,62.36,53.07,,false,
2022-01-01 13:00:00,Italy,Italy,IT,207.0,266.19,63.3,51.0,,false,
2022-01-01 14:00:00,Italy,Italy,IT,219.79,281.2,60.42,44.64,,false,
2022-01-01 15:00:00,Italy,Italy,IT,240.43,305.44,55.8,40.6,,false,
2022-01-01 16:00:00,Italy,Italy,IT,254.46,318.86,55.26,42.71,,false,
2022-01-01 17:00:00,Italy,Italy,IT,265.92,331.16,54.34,43.33,,false,
2022-01-01 18:00:00,Italy,Italy,IT,274.43,339.84,54.03,43.86,,false,
2022-01-01 19:00:00,Italy,Italy,IT,279.73,346.76,52.52,41.79,,false,
2022-01-01 20:00:00,Italy,Italy,IT,279.75,349.99,50.5,38.83,,false,
2022-01-01 21:00:00,Italy,Italy,IT,278.58,352.15,48.5,36.2,,false,
2022-01-01 22:00:00,Italy,Italy,IT,275.12,348.92,48.98,35.28,,false,
2022-01-01 23:00:00,Italy,Italy,IT,259.28,329.47,52.99,37.3,,false,
2022-01-02 00:00:00,Italy,Italy,IT,269.55,341.3,51.6,37.07,,false,
2022-01-02 01:00:00,Italy,Italy,IT,275.46,348.9,50.25,36.21,,false,
2022-01-02 02:00:00,Italy,Italy,IT,278.8,352.95,49.56,35.87,,false,
2022-01-02 03:00:00,Italy,Italy,IT,281.53,356.67,48.57,35.06,,false,
2022-01-02 04:00:00,Italy,Italy,IT,282.96,358.03,48.39,34.8,,false,
2022-01-02 05:00:00,Italy,Italy,IT,278.26,352.79,48.79,35.05,,false,
2022-01-02 06:00:00,Italy,Italy,IT,275.79,349.27,49.59,36.26,,false,
2022-01-02 07:00:00,Italy,Italy,IT,260.98,330.66,53.14,40.52,,false,
2022-01-02 08:00:00,Italy,Italy,IT,251.0,319.24,54.76,43.14,,false,
2022-01-02 09:00:00,Italy,Italy,IT,241.85,309.52,55.84,46.01,,false,
2022-01-02 10:00:00,Italy,Italy,IT,235.51,302.81,56.2,46.97,,false,
2022-01-02 11:00:00,Italy,Italy,IT,232.7,299.17,56.93,48.16,,false,
2022-01-02 12:00:00,Italy,Italy,IT,236.74,304.4,55.88,47.47,,false,
2022-01-02 13:00:00,Italy,Italy,IT,239.41,307.02,55.88,45.4,,false,
2022-01-02 14:00:00,Italy,Italy,IT,246.97,315.89,53.73,41.61,,false,
2022-01-02 15:00:00,Italy,Italy,IT,251.66,320.2,53.2,40.35,,false,
2022-01-02 16:00:00,Italy,Italy,IT,258.06,322.49,55.14,44.13,,false,
2022-01-02 17:00:00,Italy,Italy,IT,261.87,327.42,54.07,43.95,,false,
2022-01-02 18:00:00,Italy,Italy,IT,264.28,330.98,53.67,43.61,,false,
2022-01-02 19:00:00,Italy,Italy,IT,260.4,327.83,53.83,43.59,,false,
2022-01-02 20:00:00,Italy,Italy,IT,257.55,328.03,51.49,40.56,,false,
2022-01-02 21:00:00,Italy,Italy,IT,249.29,317.23,54.14,42.04,,false,
2022-01-02 22:00:00,Italy,Italy,IT,242.2,308.57,56.06,43.52,,false,
2022-01-02 23:00:00,Italy,Italy,IT,246.04,311.99,55.43,43.5,,false,
2022-01-03 00:00:00,Italy,Italy,IT,257.08,325.53,53.49,42.59,,false,
2022-01-03 01:00:00,Italy,Italy,IT,258.42,327.13,53.03,42.58,,false,
2022-01-03 02:00:00,Italy,Italy,IT,257.56,325.3,53.53,42.6,,false,
2022-01-03 03:00:00,Italy,Italy,IT,261.27,329.44,52.89,42.32,,false,
2022-01-03 04:00:00,Italy,Italy,IT,262.06,329.68,53.05,41.84,,false,
2022-01-03 05:00:00,Italy,Italy,IT,277.87,349.6,48.63,37.51,,false,
2022-01-03 06:00:00,Italy,Italy,IT,286.67,361.04,46.04,36.45,,false,
2022-01-03 07:00:00,Italy,Italy,IT,283.99,357.16,46.91,39.09,,false,
2022-01-03 08:00:00,Italy,Italy,IT,278.95,351.87,47.68,40.65,,false,
2022-01-03 09:00:00,Italy,Italy,IT,274.2,346.8,48.55,41.11,,false,
2022-01-03 10:00:00,Italy,Italy,IT,273.19,346.04,48.3,40.76,,false,
2022-01-03 11:00:00,Italy,Italy,IT,277.34,351.46,47.14,39.93,,false,
2022-01-03 12:00:00,Italy,Italy,IT,274.16,347.57,47.71,39.69,,false,
2022-01-03 13:00:00,Italy,Italy,IT,280.99,355.29,46.45,37.66,,false,
2022-01-03 14:00:00,Italy,Italy,IT,290.12,365.15,45.31,35.99,,false,
2022-01-03 15:00:00,Italy,Italy,IT,300.28,377.57,42.79,33.71,,false,
2022-01-03 16:00:00,Italy,Italy,IT,293.17,368.82,44.28,36.72,,false,
2022-01-03 17:00:00,Italy,Italy,IT,293.45,369.19,44.71,36.94,,false,
2022-01-03 18:00:00,Italy,Italy,IT,302.31,380.19,42.74,34.56,,false,
2022-01-03 19:00:00,Italy,Italy,IT,315.42,395.46,40.77,32.83,,false,
2022-01-03 20:00:00,Italy,Italy,IT,310.22,388.44,42.74,32.47,,false,
2022-01-03 21:00:00,Italy,Italy,IT,309.14,388.13,42.64,31.5,,false,
2022-01-03 22:00:00,Italy,Italy,IT,298.3,374.18,45.37,33.56,,false,
2022-01-03 23:00:00,Italy,Italy,IT,286.33,359.04,48.97,35.72,,false,
2022-01-04 00:00:00,Italy,Italy,IT,277.68,347.97,51.34,36.66,,false,
2022-01-04 01:00:00,Italy,Italy,IT,280.6,352.29,50.18,36.47,,false,
2022-01-04 02:00:00,Italy,Italy,IT,282.23,354.52,49.49,37.07,,false,
2022-01-04 03:00:00,Italy,Italy,IT,279.64,351.45,49.73,37.2,,false,
2022-01-04 04:00:00,Italy,Italy,IT,279.31,351.2,49.31,36.13,,false,
2022-01-04 05:00:00,Italy,Italy,IT,305.75,384.65,42.69,31.68,,false,
2022-01-04 06:00:00,Italy,Italy,IT,314.3,395.42,40.34,30.95,,false,
