Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Sweden,South Central Sweden,SE-SE3,7.93,27.54,98.96,47.35,entsoe.eu,false,
2023-01-01 01:00:00,Sweden,South Central Sweden,SE-SE3,10.27,30.67,98.63,46.3,entsoe.eu,false,
2023-01-01 02:00:00,Sweden,South Central Sweden,SE-SE3,8.68,28.77,98.86,44.41,entsoe.eu,false,
2023-01-01 03:00:00,Sweden,South Central Sweden,SE-SE3,8.14,28.31,98.95,43.04,entsoe.eu,false,
2023-01-01 04:00:00,Sweden,South Central Sweden,SE-SE3,6.67,26.45,99.16,43.67,entsoe.eu,false,
2023-01-01 05:00:00,Sweden,South Central Sweden,SE-SE3,5.1,24.26,99.37,44.08,entsoe.eu,false,
2023-01-01 06:00:00,Sweden,South Central Sweden,SE-SE3,4.36,23.34,99.48,43.66,entsoe.eu,false,
2023-01-01 07:00:00,Sweden,South Central Sweden,SE-SE3,6.75,26.88,99.13,43.99,entsoe.eu,false,
2023-01-01 08:00:00,Sweden,South Central Sweden,SE-SE3,7.65,28.65,99.05,45.39,entsoe.eu,false,
2023-01-01 09:00:00,Sweden,South Central Sweden,SE-SE3,10.99,33.07,98.72,47.36,entsoe.eu,false,
2023-01-01 10:00:00,Sweden,South Central Sweden,SE-SE3,13.36,35.54,98.47,47.64,entsoe.eu,false,
2023-01-01 11:00:00,Sweden,South Central Sweden,SE-SE3,13.8,36.93,98.37,48.08,entsoe.eu,false,
2023-01-01 12:00:00,Sweden,South Central Sweden,SE-SE3,18.48,42.76,97.85,48.81,entsoe.eu,false,
2023-01-01 13:00:00,Sweden,South Central Sweden,SE-SE3,13.62,37.72,98.42,51.14,entsoe.eu,false,
2023-01-01 14:00:00,Sweden,South Central Sweden,SE-SE3,6.2,29.37,99.29,52.93,entsoe.eu,false,
2023-01-01 15:00:00,Sweden,South Central Sweden,SE-SE3,5.06,27.03,99.41,59.8,entsoe.eu,false,
2023-01-01 16:00:00,Sweden,South Central Sweden,SE-SE3,6.35,28.59,99.21,60.29,entsoe.eu,false,
2023-01-01 17:00:00,Sweden,South Central Sweden,SE-SE3,6.59,27.16,99.16,60.69,entsoe.eu,false,
2023-01-01 18:00:00,Sweden,South Central Sweden,SE-SE3,7.93,28.83,98.99,60.51,entsoe.eu,false,
2023-01-01 19:00:00,Sweden,South Central Sweden,SE-SE3,8.54,29.03,98.88,59.63,entsoe.eu,false,
2023-01-01 20:00:00,Sweden,South Central Sweden,SE-SE3,5.99,25.98,99.24,58.94,entsoe.eu,false,
2023-01-01 21:00:00,Sweden,South Central Sweden,SE-SE3,6.89,27.24,99.11,58.42,entsoe.eu,false,
2023-01-01 22:00:00,Sweden,South Central Sweden,SE-SE3,8.06,28.72,98.94,57.55,entsoe.eu,false,
2023-01-01 23:00:00,Sweden,South Central Sweden,SE-SE3,7.88,29.0,98.96,55.14,entsoe.eu,false,
2023-01-02 00:00:00,Sweden,South Central Sweden,SE-SE3,9.22,31.15,98.8,53.71,entsoe.eu,false,
2023-01-02 01:00:00,Sweden,South Central Sweden,SE-SE3,11.36,33.77,98.52,53.57,entsoe.eu,false,
2023-01-02 02:00:00,Sweden,South Central Sweden,SE-SE3,11.31,33.82,98.53,52.26,entsoe.eu,false,
2023-01-02 03:00:00,Sweden,South Central Sweden,SE-SE3,12.19,34.95,98.42,52.58,entsoe.eu,false,
2023-01-02 04:00:00,Sweden,South Central Sweden,SE-SE3,10.41,33.2,98.7,55.13,entsoe.eu,false,
2023-01-02 05:00:00,Sweden,South Central Sweden,SE-SE3,10.86,34.6,98.65,58.98,entsoe.eu,false,
2023-01-02 06:00:00,Sweden,South Central Sweden,SE-SE3,5.67,28.49,99.34,61.86,entsoe.eu,false,
2023-01-02 07:00:00,Sweden,South Central Sweden,SE-SE3,3.99,27.28,99.56,62.49,entsoe.eu,false,
2023-01-02 08:00:00,Sweden,South Central Sweden,SE-SE3,10.52,34.7,98.67,62.03,entsoe.eu,false,
2023-01-02 09:00:00,Sweden,South Central Sweden,SE-SE3,13.35,38.28,98.32,61.24,entsoe.eu,false,
2023-01-02 10:00:00,Sweden,South Central Sweden,SE-SE3,7.48,32.26,99.1,61.78,entsoe.eu,false,
2023-01-02 11:00:00,Sweden,South Central Sweden,SE-SE3,11.73,37.26,98.5,61.67,entsoe.eu,false,
2023-01-02 12:00:00,Sweden,South Central Sweden,SE-SE3,13.41,39.58,98.29,60.54,entsoe.eu,false,
2023-01-02 13:00:00,Sweden,South Central Sweden,SE-SE3,11.61,37.15,98.46,61.29,entsoe.eu,false,
2023-01-02 14:00:00,Sweden,South Central Sweden,SE-SE3,11.16,36.71,98.48,61.22,entsoe.eu,false,
2023-01-02 15:00:00,Sweden,South Central Sweden,SE-SE3,12.02,37.98,98.43,60.9,entsoe.eu,false,
2023-01-02 16:00:00,Sweden,South Central Sweden,SE-SE3,9.95,35.09,98.73,62.64,entsoe.eu,false,
2023-01-02 17:00:00,Sweden,South Central Sweden,SE-SE3,2.86,27.01,99.7,63.24,entsoe.eu,false,
2023-01-02 18:00:00,Sweden,South Central Sweden,SE-SE3,2.18,26.23,99.83,62.72,entsoe.eu,false,
2023-01-02 19:00:00,Sweden,South Central Sweden,SE-SE3,2.89,26.86,99.71,62.95,entsoe.eu,false,
2023-01-02 20:00:00,Sweden,South Central Sweden,SE-SE3,6.08,30.99,99.17,62.33,entsoe.eu,false,
2023-01-02 21:00:00,Sweden,South Central Sweden,SE-SE3,5.27,30.14,99.27,61.28,entsoe.eu,false,
2023-01-02 22:00:00,Sweden,South Central Sweden,SE-SE3,3.23,27.46,99.64,60.68,entsoe.eu,false,
2023-01-02 23:00:00,Sweden,South Central Sweden,SE-SE3,3.89,28.4,99.58,58.43,entsoe.eu,false,
2023-01-03 00:00:00,Sweden,South Central Sweden,SE-SE3,5.89,31.18,99.3,56.99,entsoe.eu,false,
2023-01-03 01:00:00,Sweden,South Central Sweden,SE-SE3,5.72,31.39,99.29,57.52,entsoe.eu,false,
2023-01-03 02:00:00,Sweden,South Central Sweden,SE-SE3,6.28,32.37,99.21,57.62,entsoe.eu,false,
2023-01-03 03:00:00,Sweden,South Central Sweden,SE-SE3,4.0,29.62,99.58,58.52,entsoe.eu,false,
2023-01-03 04:00:00,Sweden,South Central Sweden,SE-SE3,3.92,30.05,99.57,60.24,entsoe.eu,false,
2023-01-03 05:00:00,Sweden,South Central Sweden,SE-SE3,2.2,27.23,99.84,63.48,entsoe.eu,false,
2023-01-03 06:00:00,Sweden,South Central Sweden,SE-SE3,2.12,26.78,99.85,64.79,entsoe.eu,false,
2023-01-03 07:00:00,Sweden,South Central Sweden,SE-SE3,2.1,26.85,99.85,65.36,entsoe.eu,false,
2023-01-03 08:00:00,Sweden,South Central Sweden,SE-SE3,2.06,26.84,99.86,65.18,entsoe.eu,false,
2023-01-03 09:00:00,Sweden,South Central Sweden,SE-SE3,2.05,26.93,99.87,65.83,entsoe.eu,false,
2023-01-03 10:00:00,Sweden,South Central Sweden,SE-SE3,2.09,27.23,99.87,65.03,entsoe.eu,false,
2023-01-03 11:00:00,Sweden,South Central Sweden,SE-SE3,2.08,27.17,99.87,64.02,entsoe.eu,false,
2023-01-03 12:00:00,Sweden,South Central Sweden,SE-SE3,2.06,26.72,99.87,64.19,entsoe.eu,false,
2023-01-03 13:00:00,Sweden,South Central Sweden,SE-SE3,2.09,26.6,99.84,66.07,entsoe.eu,false,
2023-01-03 14:00:00,Sweden,South Central Sweden,SE-SE3,2.09,26.7,99.84,66.44,entsoe.eu,false,
2023-01-03 15:00:00,Sweden,South Central Sweden,SE-SE3,2.22,26.88,99.81,67.26,entsoe.eu,false,
2023-01-03 16:00:00,Sweden,South Central Sweden,SE-SE3,2.16,27.29,99.82,67.65,entsoe.eu,false,
2023-01-03 17:00:00,Sweden,South Central Sweden,SE-SE3,2.19,27.47,99.83,66.07,entsoe.eu,false,
2023-01-03 18:00:00,Sweden,South Central Sweden,SE-SE3,5.3,31.47,99.29,64.52,entsoe.eu,false,
2023-01-03 19:00:00,Sweden,South Central Sweden,SE-SE3,9.98,36.84,98.58,62.79,entsoe.eu,false,
