Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Sweden,Sweden,SE,12.61,34.16,98.41,60.16,entsoe.eu,false,
2023-01-01 01:00:00,Sweden,Sweden,SE,14.56,36.77,98.12,60.35,entsoe.eu,false,
2023-01-01 02:00:00,Sweden,Sweden,SE,14.79,37.13,98.07,60.41,entsoe.eu,false,
2023-01-01 03:00:00,Sweden,Sweden,SE,13.76,36.01,98.23,59.69,entsoe.eu,false,
2023-01-01 04:00:00,Sweden,Sweden,SE,12.74,34.74,98.37,59.99,entsoe.eu,false,
2023-01-01 05:00:00,Sweden,Sweden,SE,11.74,33.39,98.5,59.81,entsoe.eu,false,
2023-01-01 06:00:00,Sweden,Sweden,SE,12.04,33.91,98.46,60.6,entsoe.eu,false,
2023-01-01 07:00:00,Sweden,Sweden,SE,13.57,36.26,98.25,61.52,entsoe.eu,false,
2023-01-01 08:00:00,Sweden,Sweden,SE,14.04,37.26,98.21,63.1,entsoe.eu,false,
2023-01-01 09:00:00,Sweden,Sweden,SE,20.39,44.37,97.57,63.74,entsoe.eu,false,
2023-01-01 10:00:00,Sweden,Sweden,SE,24.07,48.25,97.21,62.96,entsoe.eu,false,
2023-01-01 11:00:00,Sweden,Sweden,SE,22.83,47.69,97.29,63.65,entsoe.eu,false,
2023-01-01 12:00:00,Sweden,Sweden,SE,28.22,53.79,96.73,63.38,entsoe.eu,false,
2023-01-01 13:00:00,Sweden,Sweden,SE,22.63,47.82,97.37,65.03,entsoe.eu,false,
2023-01-01 14:00:00,Sweden,Sweden,SE,15.44,40.32,98.22,66.04,entsoe.eu,false,
2023-01-01 15:00:00,Sweden,Sweden,SE,5.08,27.35,99.41,67.93,entsoe.eu,false,
2023-01-01 16:00:00,Sweden,Sweden,SE,5.34,27.44,99.35,68.8,entsoe.eu,false,
2023-01-01 17:00:00,Sweden,Sweden,SE,5.48,26.1,99.32,69.52,entsoe.eu,false,
2023-01-01 18:00:00,Sweden,Sweden,SE,6.46,27.22,99.19,69.54,entsoe.eu,false,
2023-01-01 19:00:00,Sweden,Sweden,SE,7.1,27.53,99.07,68.98,entsoe.eu,false,
2023-01-01 20:00:00,Sweden,Sweden,SE,4.9,24.98,99.4,68.19,entsoe.eu,false,
2023-01-01 21:00:00,Sweden,Sweden,SE,5.55,25.88,99.29,68.61,entsoe.eu,false,
2023-01-01 22:00:00,Sweden,Sweden,SE,6.76,27.35,99.12,67.41,entsoe.eu,false,
2023-01-01 23:00:00,Sweden,Sweden,SE,6.37,27.2,99.15,66.41,entsoe.eu,false,
2023-01-02 00:00:00,Sweden,Sweden,SE,7.68,29.31,99.0,65.28,entsoe.eu,false,
2023-01-02 01:00:00,Sweden,Sweden,SE,9.11,31.2,98.82,65.02,entsoe.eu,false,
2023-01-02 02:00:00,Sweden,Sweden,SE,8.83,31.05,98.85,64.75,entsoe.eu,false,
2023-01-02 03:00:00,Sweden,Sweden,SE,9.75,32.24,98.73,64.67,entsoe.eu,false,
2023-01-02 04:00:00,Sweden,Sweden,SE,8.02,30.08,99.0,67.14,entsoe.eu,false,
2023-01-02 05:00:00,Sweden,Sweden,SE,8.68,31.72,98.93,68.46,entsoe.eu,false,
2023-01-02 06:00:00,Sweden,Sweden,SE,4.86,27.34,99.44,69.58,entsoe.eu,false,
2023-01-02 07:00:00,Sweden,Sweden,SE,3.52,26.36,99.61,70.5,entsoe.eu,false,
2023-01-02 08:00:00,Sweden,Sweden,SE,12.49,36.19,98.55,71.19,entsoe.eu,false,
2023-01-02 09:00:00,Sweden,Sweden,SE,15.82,40.35,98.16,70.62,entsoe.eu,false,
2023-01-02 10:00:00,Sweden,Sweden,SE,16.36,41.15,98.25,70.13,entsoe.eu,false,
2023-01-02 11:00:00,Sweden,Sweden,SE,14.7,39.74,98.27,70.77,entsoe.eu,false,
2023-01-02 12:00:00,Sweden,Sweden,SE,21.35,47.29,97.52,70.52,entsoe.eu,false,
2023-01-02 13:00:00,Sweden,Sweden,SE,19.63,44.95,97.73,70.95,entsoe.eu,false,
2023-01-02 14:00:00,Sweden,Sweden,SE,10.37,35.62,98.55,71.55,entsoe.eu,false,
2023-01-02 15:00:00,Sweden,Sweden,SE,12.38,38.13,98.28,71.44,entsoe.eu,false,
2023-01-02 16:00:00,Sweden,Sweden,SE,10.31,35.24,98.6,72.53,entsoe.eu,false,
2023-01-02 17:00:00,Sweden,Sweden,SE,2.65,26.09,99.71,72.6,entsoe.eu,false,
2023-01-02 18:00:00,Sweden,Sweden,SE,2.07,25.21,99.82,72.58,entsoe.eu,false,
2023-01-02 19:00:00,Sweden,Sweden,SE,2.52,25.4,99.74,72.92,entsoe.eu,false,
2023-01-02 20:00:00,Sweden,Sweden,SE,4.74,28.02,99.36,73.07,entsoe.eu,false,
2023-01-02 21:00:00,Sweden,Sweden,SE,4.14,27.35,99.44,72.46,entsoe.eu,false,
2023-01-02 22:00:00,Sweden,Sweden,SE,2.7,25.4,99.7,72.29,entsoe.eu,false,
2023-01-02 23:00:00,Sweden,Sweden,SE,3.23,26.65,99.65,69.3,entsoe.eu,false,
2023-01-03 00:00:00,Sweden,Sweden,SE,4.83,28.97,99.43,67.98,entsoe.eu,false,
